Rank,Phone,E164,Twilio_Available,Similar_Matches,Error
1,(333) 333-3333,+13333333333,no,,
2,(333) 333-3338,+13333333338,no,,
3,(333) 333-3383,+13333333383,no,,
4,(333) 333-3833,+13333333833,no,,
5,(333) 333-8333,+13333338333,no,,
